iter	Passed	Remaining
346	1257931	2367232
347	1261488	2363478
348	1264473	2358660
349	1267695	2354290
350	1270597	2349338
351	1274490	2346221
352	1277938	2342284
353	1281004	2337652
354	1284089	2333063
355	1287073	2328302
356	1290659	2324632
357	1294705	2321790
358	1297963	2317533
359	1301499	2313777
360	1304484	2309046
361	1307708	2304745
362	1310803	2300225
363	1313747	2295448
364	1317116	2291421
365	1320008	2286571
366	1323643	2283015
367	1327649	2280094
368	1330937	2275939
369	1334340	2271984
370	1338085	2268613
371	1341105	2264016
372	1344139	2259451
373	1347555	2255534
374	1350523	2250872
375	1354332	2247616
376	1358275	2244577
377	1361404	2240194
378	1364428	2235646
379	1367933	2231891
380	1370865	2227206
381	1373930	2222746
382	1378098	2220069
383	1381596	2216311
384	1384927	2212286
385	1388157	2208104
386	1391828	2204626
387	1394963	2200302
388	1398233	2196197
389	1402644	2193880
390	1406381	2190502
391	1410102	2187097
392	1413519	2183222
393	1417147	2179673
394	1420551	2175781
395	1423927	2171848
396	1427566	2168318
397	1430780	2164144
398	1435475	2162207
399	1439705	2159557
400	1443208	2155815
401	1446623	2151942
402	1450008	2148027
403	1453648	2144491
404	1456911	2140401
405	1460591	2136923
406	1464869	2134318
407	1468093	2130175
408	1471651	2126518
409	1475359	2123077
410	1478951	2119470
411	1482466	2115753
412	1486126	2112242
413	1490368	2109555
414	1494456	2106643
415	1498424	2103557
416	1502061	2100005
417	1505503	2096179
418	1509501	2093127
419	1512757	2089046
420	1515972	2084912
421	1519188	2080783
422	1523617	2078315
423	1527512	2075111
424	1531604	2072171
425	1535133	2068466
426	1538531	2064587
427	1542223	2061102
428	1546247	2058058
429	1549707	2054263
430	1554108	2051711
431	1557344	2047619
432	1561604	2044871
433	1564995	2040984
434	1568525	2037279
435	1571856	2033318
436	1575279	2029478
437	1578675	2025606
438	1582244	2021956
439	1585611	2018050
440	1589037	2014221
441	1592595	2010561
442	1595883	2006562
443	1599024	2002381
444	1602343	1998427
445	1605830	1994686
446	1609285	1990905
447	1612729	1987112
448	1616189	1983341
449	1619482	1979367
450	1622853	1975491
451	1626322	1971735
452	1629974	1968202
453	1633465	1964476
454	1636914	1960699
455	1641725	1958549
456	1646318	1956128
457	1650543	1953263
458	1654653	1950256
459	1658108	1946474
460	1662669	1943988
461	1666463	1940600
462	1670410	1937387
463	1675508	1935500
464	1680540	1933525
465	1685077	1930969
466	1689248	1927986
467	1693695	1925312
468	1698542	1923083
469	1701651	1918883
470	1705219	1915204
471	1709958	1912834
472	1714043	1909726
473	1717726	1906169
474	1721310	1902501
475	1726327	1900410
476	1730342	1897209
